pair_index,pair_type,matches,num_matches,max_phrase_len,max_phrase_example,passes_echo,poem_id,author,poem_title,form
2,adjacent,our,1,1,our,True,4,Jericho Brown,Duplex: Cento (p. 72),duplex
3,adjacent,"begin, end, they",3,2,none of,True,4,Jericho Brown,Duplex: Cento (p. 72),duplex
4,adjacent,,0,0,,False,4,Jericho Brown,Duplex: Cento (p. 72),duplex
5,adjacent,"corpse, messy",2,3,a messy corpse,True,4,Jericho Brown,Duplex: Cento (p. 72),duplex
6,adjacent,,0,0,,False,4,Jericho Brown,Duplex: Cento (p. 72),duplex
7,adjacent,"field, obliterate",2,1,field,True,4,Jericho Brown,Duplex: Cento (p. 72),duplex
8,adjacent,,0,1,the,False,4,Jericho Brown,Duplex: Cento (p. 72),duplex
9,adjacent,"unreasonable, young",2,1,young,True,4,Jericho Brown,Duplex: Cento (p. 72),duplex
10,adjacent,,0,0,,False,4,Jericho Brown,Duplex: Cento (p. 72),duplex
11,adjacent,"awful, father, my, steadfast, tall",5,3,steadfast and awful,True,4,Jericho Brown,Duplex: Cento (p. 72),duplex
12,adjacent,my,1,1,my,True,4,Jericho Brown,Duplex: Cento (p. 72),duplex
13,first_last,"burgundy, car, drive, love, my",5,4,drove a burgundy car,True,4,Jericho Brown,Duplex: Cento (p. 72),duplex
