poem_id,subject,with_brown_rules,prompt_type,n_lines,num_pairs_passing_echo,first_last_passes_echo
166,history & politics,False,figurative,12,6,True
167,history & politics,False,specific,14,6,True
168,home life,False,general,14,7,True
169,home life,False,figurative,12,5,False
170,home life,False,specific,12,5,True
171,hope,False,general,12,5,False
172,hope,False,figurative,14,7,True
173,hope,False,specific,14,6,True
174,humor & satire,False,general,14,6,True
175,humor & satire,False,figurative,14,7,False
176,humor & satire,False,specific,12,5,True
177,indoor activities,False,general,12,1,True
178,indoor activities,False,figurative,10,5,True
179,indoor activities,False,specific,14,6,True
180,life choices,False,general,14,7,True
181,life choices,False,figurative,12,5,True
182,life choices,False,specific,14,8,True
183,lgbtq+,False,general,13,7,True
184,lgbtq+,False,figurative,14,7,False
185,lgbtq+,False,specific,12,5,True
186,living,False,general,12,5,True
187,living,False,figurative,12,5,False
188,living,False,specific,12,5,True
189,love,False,general,12,11,True
190,love,False,figurative,12,5,False
191,love,False,specific,12,8,True
192,love death avoidance,False,general,14,9,True
193,love death avoidance,False,figurative,10,4,False
194,love death avoidance,False,specific,14,7,True
195,memory & nostalgia,False,general,14,6,True
196,memory & nostalgia,False,figurative,14,7,True
197,memory & nostalgia,False,specific,14,6,True
198,men & women,False,general,14,8,True
199,men & women,False,figurative,12,5,True
200,men & women,False,specific,14,7,True
201,mythology & folklore,False,general,14,6,True
202,mythology & folklore,False,figurative,10,5,False
203,mythology & folklore,False,specific,12,1,True
204,nature,False,general,14,6,True
205,nature,False,figurative,10,4,False
206,nature,False,specific,12,7,True
207,power,False,general,15,6,False
208,power,False,figurative,14,7,True
209,power,False,specific,16,8,True
210,poetry & poets,False,general,14,6,True
211,poetry & poets,False,figurative,14,7,True
212,poetry & poets,False,specific,14,6,True
213,race & ethnicity,False,general,14,6,True
214,race & ethnicity,False,figurative,16,9,True
215,race & ethnicity,False,specific,12,6,True
216,relationships,False,general,13,7,True
217,relationships,False,figurative,10,5,False
218,relationships,False,specific,14,6,True
219,romantic love,False,general,14,6,False
220,romantic love,False,figurative,10,4,False
221,romantic love,False,specific,16,8,True
222,violence,False,general,14,6,True
223,violence,False,figurative,12,5,False
224,violence,False,specific,14,6,True
225,sorrow & grieving,False,general,14,6,True
226,sorrow & grieving,False,figurative,12,6,False
227,sorrow & grieving,False,specific,12,5,True
228,social commentaries,False,general,12,5,True
229,social commentaries,False,figurative,14,9,True
230,social commentaries,False,specific,12,5,True
231,subjugation,False,general,14,8,True
232,subjugation,False,figurative,14,6,True
233,subjugation,False,specific,12,5,True
234,the mind,False,general,10,4,True
235,the mind,False,figurative,14,6,True
236,the mind,False,specific,10,4,True
237,trees and flowers,False,general,14,7,True
238,trees and flowers,False,figurative,12,0,True
239,trees and flowers,False,specific,12,6,False
240,truth,False,general,12,5,True
241,truth,False,figurative,12,5,False
242,truth,False,specific,16,8,True
243,twilight,False,general,13,6,True
244,twilight,False,figurative,10,4,True
245,twilight,False,specific,14,7,True
246,urban environment,False,general,12,5,True
247,urban environment,False,figurative,10,3,False
248,urban environment,False,specific,12,5,True
249,war & conflict,False,general,14,6,True
250,war & conflict,False,figurative,12,5,True
251,war & conflict,False,specific,14,6,True
252,weather,False,general,10,1,False
253,weather,False,figurative,14,6,True
254,weather,False,specific,10,0,False
255,youth,False,general,10,2,False
256,youth,False,figurative,10,4,False
257,youth,False,specific,14,6,True
